************************************************
*    Row   *     el.UZ *      el.E *       wgt *
*      396 * -0.443317 * 392.37567 * 1.2799999 *
*      397 * 0.5928457 * 489.03775 * 0.9693025 *
*      398 * 0.8514629 * 945.34277 * 0.9755731 *
*      399 * 0.5650624 * 375.17413 * 1.2799999 *
*      400 * 0.8800146 * 864.48205 * 0.9690579 *
*      401 * 0.8246396 * 590.99353 * 0.9724663 *
*      402 * 0.8963541 * 466.17065 * 0.9685742 *
*      403 * 0.2503202 * 234.14796 * 1.2799999 *
*      404 * -0.344716 * 337.93597 * 0.9675524 *
*      405 * 0.2154470 * 307.54888 * 1.2799999 *
*      406 * -0.706433 * 192.78596 * 1.2799999 *
*      407 * 0.7743839 * 561.82745 * 0.9697532 *
*      408 * 0.0749507 * 242.15148 * 0.9708938 *
*      409 * 0.6689283 * 472.72967 * 1.2799999 *
*      410 * 0.7506319 * 907.47711 * 0.9710319 *
*      411 * 0.7310811 * 841.93194 * 0.9706423 *
*      412 * 0.3989345 * 499.34530 * 1.2799999 *
*      413 * 0.8092920 * 787.91748 * 1.2799999 *
*      414 * 0.1125809 * 423.60791 * 1.2799999 *
*      415 * 0.3067877 * 238.21264 * 0.9670877 *
*      416 * -0.537056 * 164.48741 *         1 *
*      417 * 0.0995560 * 281.61877 * 1.2799999 *
*      418 * 0.0250705 * 351.56588 * 0.9716265 *
*      419 * -0.014358 * 252.02249 * 1.2799999 *
*      420 * 0.5868124 * 792.49078 * 0.9709081 *
*      421 * 0.3417781 * 621.31579 * 1.2799999 *
*      422 * 0.7576615 * 895.87518 * 0.9697204 *
*      423 * 0.9002564 * 1057.6499 * 1.0065031 *
*      424 * 0.9726956 * 1075.3371 * 1.2799999 *
*      425 * 0.5908706 * 408.67947 * 1.2799999 *
*      426 * 0.3330387 * 402.77072 * 0.9676064 *
*      427 * 0.6246843 * 745.40576 * 1.2799999 *
*      428 * 0.0763099 * 484.86856 * 1.2799999 *
*      429 * 0.7650193 * 753.05108 * 0.9680916 *
*      430 * 0.8838405 * 1059.4006 * 1.2799999 *
*      431 * 0.8801130 * 487.27310 *         1 *
*      432 * 0.5430202 * 354.35015 * 1.2799999 *
*      433 * 0.2320820 * 289.79705 * 0.9728546 *
*      434 * -0.119209 * 349.69464 * 1.2799999 *
*      435 * 0.7445740 * 607.38378 * 0.9679176 *
*      436 * 0.1765238 * 471.62960 * 1.2799999 *
*      437 * 0.8893309 * 965.57074 * 0.9748734 *
*      438 * -0.442319 * 348.98318 * 1.2799999 *
*      439 * 0.3594612 * 489.97439 * 1.2799999 *
*      440 * 0.2658778 * 240.26384 * 1.2799999 *
*      441 * 0.0968188 * 350.83755 * 1.2799999 *
*      442 * 0.5475655 * 624.73663 * 0.9708001 *
*      443 * 0.0635250 * 342.97421 *         1 *
*      444 * -0.815161 * 164.67317 *         1 *
*      445 * 0.5864475 * 510.16568 * 0.9749662 *
*      446 * 0.5241863 * 633.58154 * 1.2799999 *
*      447 * 0.9412743 * 1107.1690 * 0.9770884 *
*      448 * 0.2228164 * 466.43692 * 1.2799999 *
*      449 * 0.6657589 * 545.95031 *         1 *
*      450 * 0.4630043 * 354.25860 * 1.2799999 *
*      451 * -0.615805 * 327.97171 * 0.9664922 *
*      452 * 0.7610886 * 818.96057 * 0.9696500 *
*      453 * 0.9606393 * 1130.9375 * 0.9739806 *
*      454 * 0.9449233 * 1051.5184 * 0.8908448 *
*      455 * 0.8491290 * 821.25158 * 0.9755924 *
*      456 * 0.9344335 * 855.61663 *         1 *
*      457 * 0.6953954 * 603.40350 * 1.2799999 *
*      458 * 0.5591217 * 325.23953 * 1.2799999 *
*      459 * 0.8182259 * 736.74682 * 0.9709852 *
*      460 * 0.4015886 * 529.49212 * 0.9683141 *
*      461 * 0.8576262 * 623.33099 *         1 *
*      462 * 0.6285237 * 421.35659 * 1.2799999 *
*      463 * 0.5282847 * 542.63787 * 1.2799999 *
*      464 * -0.161635 * 364.91418 * 0.9707869 *
*      465 * 0.8137632 * 470.08483 * 0.9668172 *
*      466 * 0.3824026 * 399.20068 * 1.2799999 *
*      467 * 0.5671827 * 438.79071 *         1 *
*      468 * -0.045938 * 258.52734 *         1 *
*      469 * 0.9271320 * 240.46461 * 1.2799999 *
*      470 * 0.9407737 * 810.78204 * 1.2799999 *
*      471 * 0.7639129 * 498.94125 * 0.9675725 *
*      472 * -0.040609 * 440.69491 * 1.2799999 *
*      473 * 0.8690788 * 837.41937 * 0.9699601 *
*      474 * 0.1961060 * 388.71704 * 1.2799999 *
*      475 * 0.8713292 * 294.63586 * 1.2799999 *
*      476 * -0.921562 * 213.35534 * 1.2799999 *
*      477 * 0.3022609 * 632.03295 *         1 *
*      478 * 0.5690212 * 588.48114 * 1.2799999 *
*      479 * 0.4155550 * 415.40353 * 1.2799999 *
*      480 * 0.7243462 * 356.30740 * 0.9720290 *
*      481 * 0.8825734 * 321.49578 *         1 *
*      482 * 0.8377370 * 970.35717 * 1.2799999 *
*      483 * 0.9772415 * 369.61529 * 1.2799999 *
*      484 * 0.2598506 * 443.18716 * 0.9671480 *
*      485 * -0.477993 * 343.84198 *         1 *
*      486 * 0.8445525 * 506.52764 * 0.9697641 *
